mode,n,success_rate,strict_conformance,latency_ms
B2,120,0.05,0.8924603174603175,9066.31349416663
B6,120,0.041666666666666664,0.8178075396825396,36746.99900499969
M_lite,120,0.05,0.7896825396825397,37219.18127499921
