mode,n,success_rate,strict_conformance,latency_ms,model
B1,22,0.6363636363636364,0.8984848484848484,3768.804345453232,ecnu-max
B2,22,0.6363636363636364,0.8984848484848484,6255.421331818401,ecnu-max
M,22,0.6363636363636364,0.8984848484848484,11808.407472726354,ecnu-max
