mode,n,success_rate,strict_conformance,latency_ms
B1,100,0.05,0.8394047619047619,7599.328071000417
B2,100,0.05,0.8910714285714286,8732.96154499978
M,100,0.05,0.8314880952380952,22250.113384000437
