task_id,mode,conf,overlap_density_tier
HardSynthetic.HardCase019,B1,0.875,high
HardSynthetic.HardCase020,B1,0.875,medium
HardSynthetic.HardCase021,B1,0.875,medium
HardSynthetic.HardCase009,B1,0.875,high
HardSynthetic.HardCase006,B1,0.875,high
HardSynthetic.HardCase012,B1,0.875,high
HardSynthetic.HardCase023,B1,0.875,high
HardSynthetic.HardCase025,B1,0.9583333333333334,low
HardSynthetic.HardCase027,B1,0.875,medium
HardSynthetic.HardCase029,B1,1.0,low
HardSynthetic.HardCase030,B1,0.875,high
HardSynthetic.HardCase005,B1,0.875,medium
HardSynthetic.HardCase003,B1,0.875,high
HardSynthetic.HardCase010,B1,0.9583333333333334,low
HardSynthetic.HardCase032,B1,0.9583333333333334,low
HardSynthetic.HardCase022,B1,0.875,low
HardSynthetic.HardCase033,B1,0.875,low
HardSynthetic.HardCase015,B1,0.875,high
HardSynthetic.HardCase035,B1,0.875,low
HardSynthetic.HardCase036,B1,0.875,high
HardSynthetic.HardCase024,B1,0.875,high
HardSynthetic.HardCase038,B1,0.875,high
HardSynthetic.HardCase039,B1,0.875,high
HardSynthetic.HardCase026,B1,0.875,medium
HardSynthetic.HardCase043,B1,0.875,medium
HardSynthetic.HardCase044,B1,0.875,low
HardSynthetic.HardCase045,B1,0.875,low
HardSynthetic.HardCase028,B1,0.875,low
HardSynthetic.HardCase046,B1,0.875,low
HardSynthetic.HardCase047,B1,0.9583333333333334,low
HardSynthetic.HardCase048,B1,0.875,low
HardSynthetic.HardCase050,B1,0.875,high
HardSynthetic.HardCase049,B1,1.0,low
HardSynthetic.HardCase053,B1,0.875,high
HardSynthetic.HardCase054,B1,0.875,medium
HardSynthetic.HardCase041,B1,0.875,medium
HardSynthetic.HardCase056,B1,0.875,low
HardSynthetic.HardCase057,B1,0.875,high
HardSynthetic.HardCase058,B1,0.875,low
HardSynthetic.HardCase060,B1,0.875,medium
HardSynthetic.HardCase034,B1,0.9583333333333334,low
HardSynthetic.HardCase037,B1,0.9583333333333334,low
HardSynthetic.HardCase051,B1,0.875,low
HardSynthetic.HardCase052,B1,0.875,medium
HardSynthetic.HardCase061,B1,0.875,high
HardSynthetic.HardCase042,B1,0.875,high
HardSynthetic.HardCase062,B1,0.875,low
HardSynthetic.HardCase040,B1,0.875,low
HardSynthetic.HardCase064,B1,0.875,medium
HardSynthetic.HardCase055,B1,0.875,low
HardSynthetic.HardCase066,B1,0.875,medium
HardSynthetic.HardCase067,B1,0.875,medium
HardSynthetic.HardCase068,B1,0.875,medium
HardSynthetic.HardCase070,B1,0.8571428571428571,high
HardSynthetic.HardCase073,B1,0.875,low
HardSynthetic.HardCase075,B1,0.875,high
HardSynthetic.HardCase074,B1,1.0,low
HardSynthetic.HardCase076,B1,1.0,low
HardSynthetic.HardCase059,B1,0.9583333333333334,low
HardSynthetic.HardCase077,B1,0.875,medium
HardSynthetic.HardCase078,B1,0.875,low
HardSynthetic.HardCase079,B1,0.875,medium
HardSynthetic.HardCase080,B1,0.875,low
HardSynthetic.HardCase081,B1,0.875,high
HardSynthetic.HardCase063,B1,0.9583333333333334,low
HardSynthetic.HardCase083,B1,0.875,high
HardSynthetic.HardCase065,B1,0.875,high
HardSynthetic.HardCase084,B1,0.875,medium
HardSynthetic.HardCase087,B1,0.875,medium
HardSynthetic.HardCase088,B1,1.0,low
HardSynthetic.HardCase071,B1,0.875,medium
HardSynthetic.HardCase090,B1,0.875,medium
HardSynthetic.HardCase089,B1,0.875,low
HardSynthetic.HardCase072,B1,0.875,medium
HardSynthetic.HardCase091,B1,0.9583333333333334,low
HardSynthetic.HardCase092,B1,0.875,high
HardSynthetic.HardCase094,B1,0.9583333333333334,low
HardSynthetic.HardCase095,B1,0.875,high
HardSynthetic.HardCase097,B1,0.875,high
HardSynthetic.HardCase098,B1,0.9583333333333334,low
HardSynthetic.HardCase100,B1,0.875,high
HardSynthetic.HardCase101,B1,0.8571428571428571,high
HardSynthetic.HardCase103,B1,0.875,low
HardSynthetic.HardCase104,B1,0.875,medium
HardSynthetic.HardCase069,B1,0.875,medium
HardSynthetic.HardCase105,B1,0.8571428571428571,high
HardSynthetic.HardCase085,B1,0.875,medium
HardSynthetic.HardCase086,B1,0.875,high
HardSynthetic.HardCase106,B1,0.9583333333333334,low
HardSynthetic.HardCase108,B1,0.875,high
HardSynthetic.HardCase111,B1,0.9583333333333334,low
HardSynthetic.HardCase113,B1,0.875,high
HardSynthetic.HardCase082,B1,0.875,low
HardSynthetic.HardCase096,B1,0.875,medium
HardSynthetic.HardCase115,B1,0.875,low
HardSynthetic.HardCase099,B1,0.875,high
HardSynthetic.HardCase116,B1,0.875,high
HardSynthetic.HardCase118,B1,0.9583333333333334,low
HardSynthetic.HardCase121,B1,0.875,high
HardSynthetic.HardCase123,B1,0.875,medium
HardSynthetic.HardCase124,B1,0.875,low
HardSynthetic.HardCase125,B1,0.8571428571428571,low
HardSynthetic.HardCase107,B1,1.0,low
HardSynthetic.HardCase001,B2,0.875,high
HardSynthetic.HardCase110,B1,0.875,medium
HardSynthetic.HardCase002,B2,0.875,medium
HardSynthetic.HardCase004,B2,0.9583333333333334,low
HardSynthetic.HardCase005,B2,0.875,medium
HardSynthetic.HardCase007,B2,0.875,medium
HardSynthetic.HardCase008,B2,0.875,medium
HardSynthetic.HardCase009,B2,0.875,high
HardSynthetic.HardCase109,B1,0.875,medium
HardSynthetic.HardCase010,B2,0.9583333333333334,low
HardSynthetic.HardCase122,B1,0.9583333333333334,low
HardSynthetic.HardCase012,B2,0.875,high
HardSynthetic.HardCase013,B2,0.9583333333333334,low
HardSynthetic.HardCase015,B2,0.875,high
HardSynthetic.HardCase016,B2,0.875,medium
HardSynthetic.HardCase017,B2,0.875,low
HardSynthetic.HardCase018,B2,0.875,medium
HardSynthetic.HardCase117,B1,0.875,high
HardSynthetic.HardCase003,B2,0.875,high
HardSynthetic.HardCase019,B2,0.875,high
HardSynthetic.HardCase006,B2,0.875,high
HardSynthetic.HardCase020,B2,0.875,medium
HardSynthetic.HardCase120,B1,0.875,low
HardSynthetic.HardCase021,B2,0.875,medium
HardSynthetic.HardCase023,B2,0.875,high
HardSynthetic.HardCase024,B2,0.875,high
HardSynthetic.HardCase026,B2,0.875,medium
HardSynthetic.HardCase027,B2,0.875,medium
HardSynthetic.HardCase028,B2,0.875,low
HardSynthetic.HardCase029,B2,1.0,low
HardSynthetic.HardCase032,B2,0.9583333333333334,low
HardSynthetic.HardCase034,B2,0.9583333333333334,low
HardSynthetic.HardCase033,B2,0.875,low
