mode,n,success_rate,strict_conformance,latency_ms
A2,120,0.05,0.7451884920634921,25326.027043332942
M,120,0.05,0.8316964285714286,25628.64876750009
M_adv,120,0.05,0.8334325396825396,67018.21325999923
