task_id,density_tier,budget,smt_coverage,random_coverage
HardSynthetic.HardCase120,low,64,1.1429,0.8571
HardSynthetic.HardCase121,high,4,0.2857,0.2857
HardSynthetic.HardCase121,high,8,0.4286,0.5714
HardSynthetic.HardCase121,high,16,0.8571,0.4286
HardSynthetic.HardCase121,high,32,1.1429,0.8571
HardSynthetic.HardCase121,high,64,1.1429,0.7143
HardSynthetic.HardCase122,low,4,0.2857,0.1429
HardSynthetic.HardCase122,low,8,0.4286,0.5714
HardSynthetic.HardCase122,low,16,0.8571,0.5714
HardSynthetic.HardCase122,low,32,1.1429,0.8571
HardSynthetic.HardCase122,low,64,1.1429,0.8571
HardSynthetic.HardCase123,medium,4,0.2857,0.2857
HardSynthetic.HardCase123,medium,8,0.4286,0.2857
HardSynthetic.HardCase123,medium,16,0.8571,0.5714
HardSynthetic.HardCase123,medium,32,1.1429,0.8571
HardSynthetic.HardCase123,medium,64,1.1429,1.0
HardSynthetic.HardCase124,low,4,0.2857,0.2857
HardSynthetic.HardCase124,low,8,0.4286,0.4286
HardSynthetic.HardCase124,low,16,0.8571,0.5714
HardSynthetic.HardCase124,low,32,1.1429,0.7143
HardSynthetic.HardCase124,low,64,1.1429,0.8571
HardSynthetic.HardCase125,low,4,0.2857,0.2857
HardSynthetic.HardCase125,low,8,0.4286,0.4286
HardSynthetic.HardCase125,low,16,0.8571,0.5714
HardSynthetic.HardCase125,low,32,1.0,0.7143
HardSynthetic.HardCase125,low,64,1.0,0.5714
