mode,attempt,conf,task_id,source
B2,1,0.0,HardSynthetic.HardCase107,attempt_history
B2,1,0.0,HardSynthetic.HardCase098,attempt_history
B2,1,0.0,HardSynthetic.HardCase113,attempt_history
B2,2,0.0,HardSynthetic.HardCase113,attempt_history
B2,1,0.0,HardSynthetic.HardCase116,attempt_history
B2,1,0.0,HardSynthetic.HardCase095,attempt_history
B2,2,0.0,HardSynthetic.HardCase095,attempt_history
B2,3,0.0,HardSynthetic.HardCase095,attempt_history
B2,1,0.0,HardSynthetic.HardCase104,attempt_history
B2,1,0.0,HardSynthetic.HardCase090,attempt_history
B2,1,0.0,HardSynthetic.HardCase118,attempt_history
B2,1,0.0,HardSynthetic.HardCase110,attempt_history
B2,1,0.0,HardSynthetic.HardCase094,attempt_history
B2,1,0.0,HardSynthetic.HardCase109,attempt_history
B2,1,0.0,HardSynthetic.HardCase112,attempt_history
B2,1,0.0,HardSynthetic.HardCase121,attempt_history
B2,1,0.0,HardSynthetic.HardCase123,attempt_history
B2,1,0.0,HardSynthetic.HardCase125,attempt_history
B2,1,0.0,HardSynthetic.HardCase115,attempt_history
B2,1,0.0,HardSynthetic.HardCase124,attempt_history
B2,2,0.0,HardSynthetic.HardCase124,attempt_history
B2,1,0.0,HardSynthetic.HardCase120,attempt_history
M,1,0.0,HardSynthetic.HardCase005,attempt_history
M,2,0.0,HardSynthetic.HardCase005,attempt_history
M,3,0.0,HardSynthetic.HardCase005,attempt_history
M,1,0.0,HardSynthetic.HardCase001,attempt_history
M,2,0.0,HardSynthetic.HardCase001,attempt_history
M,3,0.0,HardSynthetic.HardCase001,attempt_history
M,1,0.0,HardSynthetic.HardCase006,attempt_history
M,2,0.0,HardSynthetic.HardCase006,attempt_history
M,3,0.0,HardSynthetic.HardCase006,attempt_history
M,1,0.0,HardSynthetic.HardCase002,attempt_history
M,2,0.0,HardSynthetic.HardCase002,attempt_history
M,3,0.0,HardSynthetic.HardCase002,attempt_history
M,1,0.0,HardSynthetic.HardCase007,attempt_history
M,2,0.0,HardSynthetic.HardCase007,attempt_history
M,3,0.0,HardSynthetic.HardCase007,attempt_history
M,1,0.0,HardSynthetic.HardCase009,attempt_history
M,2,0.0,HardSynthetic.HardCase009,attempt_history
M,3,0.0,HardSynthetic.HardCase009,attempt_history
M,1,0.0,HardSynthetic.HardCase011,attempt_history
M,2,0.0,HardSynthetic.HardCase011,attempt_history
M,3,0.0,HardSynthetic.HardCase011,attempt_history
M,1,0.0,HardSynthetic.HardCase003,attempt_history
