mode,temperature,success_rate,formal
A1,0.2,0.05,0.8553075396825397
A2,0.2,0.05,0.8028769841269842
A3,0.2,0.03333333333333333,0.8237103174603175
B0,0.2,0.05,0.8924603174603175
B1,0.2,0.05,0.8924603174603175
B2,0.2,0.05,0.8771825396825397
M,0.2,0.05,0.8625992063492063
