ablation,success_rate,delta_vs_M,component_removed
A1,0.26666666666666666,0.016666666666666663,formal_check
A2,0.26666666666666666,0.016666666666666663,pattern_guard
A3,0.26666666666666666,0.016666666666666663,repair_loop
