stratum,description,n_paired,wins,losses,ties,mean_focal,mean_comparator,delta_pp,ci_low_pp,ci_high_pp,wilcoxon_p,paired_cliffs_delta,win_rate_all,win_rate_all_wilson_low,win_rate_all_wilson_high,decisive_n,decisive_win_rate,decisive_win_rate_wilson_low,decisive_win_rate_wilson_high
all,All C-A paired tasks.,120,14,4,102,0.8688492063492064,0.7914186507936508,7.743055555555555,2.256944444444444,13.645833333333332,0.0182342529296875,0.08333333333333333,0.11666666666666667,0.0707811780783005,0.18633351617603885,18,0.7777777777777778,0.5478541568378739,0.9099907189139831
H_conf_lt_1,Primary headroom subset H where A/test_only Conf < 1.,114,14,4,96,0.8619465329991646,0.7804406850459482,8.150584795321636,2.2660818713450293,14.400584795321638,0.0182342529296875,0.08771929824561403,0.12280701754385964,0.07458120778594021,0.19562470394792278,18,0.7777777777777778,0.5478541568378739,0.9099907189139831
H_conf_eq_0,Strict rescue subset where A/test_only Conf = 0.,13,13,0,0,0.907051282051282,0.0,90.7051282051282,88.78205128205127,92.62820512820514,0.000244140625,1.0,1.0,0.7719046276458016,0.9999999999999999,13,1.0,0.7719046276458016,0.9999999999999999
H_conf_gt_0_lt_1,Partial-headroom subset where 0 < A/test_only Conf < 1.,101,1,4,96,0.8561409712399812,0.880893446487506,-2.4752475247524774,-5.816831683168317,0.20627062706270644,0.1875,-0.0297029702970297,0.009900990099009901,0.0017499112489682313,0.05396715799445505,5,0.2,0.03622410863243014,0.6244653702374747
