mode,n,success_rate,strict_conformance,latency_ms
B1,120,0.05,0.8924603174603175,3373.780254166801
B2,120,0.05,0.8924603174603175,4138.704614165908
M,120,0.05,0.8924603174603175,10071.73595583275
