mode,latency_ms,strict_conformance
B0,31.465800013393164,1.0
B0,28.75810000114143,1.0
B0,27.855299995280802,1.0
B0,41.31179995601997,1.0
B0,32.446400029584765,1.0
B0,32.40219998406246,1.0
B0,24.486800015438348,1.0
B0,22.16449996922165,1.0
B0,26.673800020944327,1.0
B0,20.273800007998943,1.0
B0,20.035200053825974,1.0
B0,29.830000014044344,1.0
B0,28.831299976445735,1.0
B0,24.943700002040714,1.0
B0,33.52459997404367,1.0
B0,31.13299998221919,1.0
B0,30.151500017382205,1.0
B0,33.4275999921374,1.0
B0,15.5881000100635,1.0
B0,13.979399984236807,1.0
B0,19.19890003046021,1.0
B0,26.731500052846968,1.0
B0,21.75289997830987,1.0
B0,22.100300004240125,1.0
B0,19.31850000983104,1.0
B0,15.549300005659461,1.0
B0,17.233299964573234,1.0
B0,22.529799956828356,1.0
B0,32.60379994753748,1.0
B0,27.66170003451407,1.0
B0,16.562199976760894,1.0
B0,1.1656000278890133,0.0
B0,1.0438999743200839,0.0
B0,1.0158999939449131,0.0
B0,12.44100002804771,1.0
B0,16.41149999340996,1.0
B0,1.0840999893844128,0.0
B0,0.7342000026255846,0.0
B0,1.0978999780490994,0.0
B0,1.1133999796584249,0.0
B0,0.7458000327460468,0.0
B0,1.0026000090874732,0.0
B0,0.8473999914713204,0.0
B0,1.0292999795638025,0.0
B0,0.6595999584533274,0.0
B0,0.713299959897995,0.0
B0,0.7289000204764307,0.0
B0,0.9519000304862857,0.0
B0,0.8216999704018235,0.0
B0,0.7792999967932701,0.0
B0,0.6841999711468816,0.0
B0,0.7093999884091318,0.0
B0,0.7147000287659466,0.0
B0,0.7591999601572752,0.0
B0,0.7686000317335129,0.0
B0,1.134999969508499,0.0
B0,0.6653000018559396,0.0
B0,0.7430999539792538,0.0
B0,0.7844999781809747,0.0
B0,0.7633999921381474,0.0
B0,1.3356999843381345,0.0
B0,0.7578999502584338,0.0
B0,1.0833999840542674,0.0
B0,0.8037000079639256,0.0
B0,1.0444999788887799,0.0
B0,1.0902999783866107,0.0
B0,1.1335000162944198,0.0
B0,0.9293999755755067,0.0
B0,0.7229999755509198,0.0
B0,0.7147000287659466,0.0
B0,0.7209000177681446,0.0
B0,0.7134000188671052,0.0
B0,1.2503000325523317,0.0
B0,0.8110000053420663,0.0
B0,1.1042000260204077,0.0
B0,1.044799981173128,0.0
B0,0.8530999766662717,0.0
B0,0.9150999831035733,0.0
B0,1.027699967380613,0.0
B0,0.6714999908581376,0.0
B0,1.0214000358246267,0.0
B0,0.9987999801523983,0.0
B0,1.061099988874048,0.0
B0,0.9809999610297382,0.0
B0,0.72900002123788,0.0
B0,0.6531999679282308,0.0
B0,1.247100008185953,0.0
B0,0.7559999939985573,0.0
B0,0.7676000241190195,0.0
B0,0.9456000407226384,0.0
B0,0.7661000126972795,0.0
B0,0.8478999952785671,0.0
B0,2.1069999784231186,0.0
B0,1.2638000189326704,0.0
B0,0.7721000001765788,0.0
B0,1.001099997665733,0.0
B0,0.873599958140403,0.0
B0,1.0991999879479408,0.0
B0,0.9691999875940382,0.0
B0,0.7196000078693032,0.0
B0,0.9428999619558454,0.0
B0,1.0026000090874732,0.0
B0,1.1091000051237643,0.0
B0,1.222599996253848,0.0
B0,0.7916000322438776,0.0
B0,0.8392000454477966,0.0
B0,0.6870999932289124,0.0
B0,1.4269999810494483,0.0
B0,0.7824000203981996,0.0
B0,0.866199960000813,0.0
B0,0.8517000242136419,0.0
B0,0.7362000178545713,0.0
B0,0.8000999805517495,0.0
B0,0.6895000115036964,0.0
B0,1.193300005979836,0.0
B0,0.9399999980814755,0.0
B0,0.7161999819800258,0.0
B0,0.8358000195585191,0.0
B0,1.0347000206820667,0.0
B0,1.0725000174716115,0.0
B1,3587.778699991759,1.0
B1,3587.732199986931,1.0
B1,3762.946400034707,1.0
B1,4656.30080003757,1.0
B1,5458.878899982665,1.0
B1,6447.9570999974385,1.0
B1,1965.0525999604724,1.0
B1,827.1784000098705,1.0
B1,2488.7888000230305,1.0
B1,854.4341000379063,1.0
B1,2384.161999973003,1.0
B1,2091.854800004512,1.0
B1,2461.514199967496,1.0
B1,4404.310399957467,1.0
B1,8094.358800037298,0.8333333333333334
B1,9158.420499996282,1.0
B1,3967.0732999802567,1.0
B1,3331.1507000471465,1.0
B1,1597.3694000276737,1.0
B1,1774.184999987483,1.0
B1,5014.230599976145,1.0
B1,4355.054400046356,1.0
B1,3744.150099984836,1.0
B1,2329.0284000104293,1.0
B1,2943.1263999431394,1.0
B1,5946.125799964648,1.0
B1,4979.2166000115685,1.0
B1,1759.3350000097416,1.0
B1,4358.342999999877,1.0
B1,3062.6677999971434,1.0
B1,3700.4646999994293,1.0
B1,2072.7606000145897,1.0
B1,3374.67559997458,1.0
B1,15220.039399981033,0.8888888888888888
B1,18823.90849996591,0.8888888888888888
B1,18596.732400008477,0.9629629629629629
B1,18798.330499965232,0.8888888888888888
B1,15687.958299997263,0.8888888888888888
B1,16075.556099996902,0.8888888888888888
B1,18581.560700025875,0.8888888888888888
B1,41231.99270002078,0.8888888888888888
B1,39575.91359998332,0.8888888888888888
B1,19736.598899995442,0.9629629629629629
B1,19436.03440001607,0.8888888888888888
B1,16647.626199992374,0.8888888888888888
B1,16664.692499965895,0.9629629629629629
B1,15171.960400009993,0.8888888888888888
B1,13736.722700006794,0.8888888888888888
B1,19707.68270001281,0.8888888888888888
B1,3220.766900049057,0.8888888888888888
B1,3504.3764999718405,0.8888888888888888
B1,3295.7507999963127,0.8888888888888888
B1,897.5954999914393,0.0
B1,732.644599978812,0.0
B1,7802.217999997083,0.8888888888888888
B1,8315.667600021698,0.8888888888888888
B1,18934.74260001676,0.8888888888888888
B1,4881.338300008792,0.8888888888888888
B1,623.8630999578163,0.0
B1,19164.29580003023,0.8888888888888888
B1,616.7755000060424,0.0
B1,12112.54340002779,0.9629629629629629
B1,12857.55740001332,0.8888888888888888
B1,34868.354099977296,0.8888888888888888
B1,5654.5312000089325,0.8888888888888888
B1,5812.395799963269,0.8888888888888888
B1,19553.49209997803,0.8888888888888888
B1,7178.833200014196,0.9629629629629629
B1,19728.914899984375,0.9629629629629629
B1,20522.33329997398,0.9629629629629629
B1,10602.033499977551,0.8888888888888888
B1,10656.147000030614,0.875
B1,634.3857999891043,0.0
B1,10316.152700048406,0.8888888888888888
B1,779.2836999869905,0.0
B1,616.9257999863476,0.0
B1,19906.429199967533,0.8888888888888888
B1,7411.5855999989435,0.8888888888888888
B1,19206.16559998598,0.8888888888888888
B1,3352.209899981972,0.8888888888888888
B1,21233.943399973214,0.8888888888888888
B1,16919.45379995741,0.8888888888888888
B1,4438.04999999702,0.8888888888888888
B1,3236.556699965149,0.8888888888888888
B1,3110.4067999986,0.8888888888888888
B1,20635.610400000587,0.8888888888888888
B1,5114.449799992144,0.8888888888888888
B1,16239.921000029426,0.8888888888888888
B1,5016.3096000324,0.8888888888888888
B1,734.5425999956205,0.0
B1,3140.768300043419,0.8888888888888888
B1,3254.7324000042863,0.8888888888888888
B1,2926.0490000015125,0.8888888888888888
B1,3050.3533000010066,0.8888888888888888
B1,25466.32269996917,0.8888888888888888
B1,3224.9921000329778,0.8888888888888888
B1,3168.4233999694698,0.8888888888888888
B1,22690.26569998823,0.8888888888888888
B1,15569.672999961767,0.8888888888888888
B1,3327.6145000127144,0.8888888888888888
B1,4114.131499954965,0.8888888888888888
B1,19391.795700008515,0.9629629629629629
B1,3110.8480999828316,0.8888888888888888
B1,3150.0809999997728,0.8888888888888888
B1,5528.603499988094,0.8888888888888888
B1,5517.320599989034,0.8888888888888888
B1,5521.26920002047,0.9629629629629629
B1,21000.493699975777,0.8888888888888888
B1,18472.114100004546,0.875
B1,4644.34880000772,0.0
B1,3114.9985999800265,0.8888888888888888
B1,3125.4369000089355,0.8888888888888888
B1,623.0527000152506,0.0
B1,20815.6755999662,0.8888888888888888
B1,701.8671000259928,0.0
B1,5450.4198000067845,0.8888888888888888
B2,1367.4841999891214,1.0
B2,1850.1338999485597,1.0
B2,1377.4583999766037,1.0
B2,1808.5590999689884,1.0
B2,1525.789400038775,1.0
B2,1360.9029999934137,1.0
B2,2121.957700001076,1.0
B1,18930.24240003433,0.8888888888888888
B2,1516.3163999677636,1.0
B2,4100.813099998049,1.0
B2,1730.0472999922931,1.0
B2,4140.6664999667555,0.8333333333333334
B2,1705.9585000388324,1.0
B2,2579.4891000259668,1.0
B2,1414.3380000023171,1.0
B2,1912.1461000177078,1.0
B2,1759.5567999524064,1.0
B1,25218.100500002038,0.8888888888888888
B2,1466.6091999970376,1.0
B1,25290.069600043353,0.8888888888888888
B2,5787.763700005598,1.0
B2,1473.6628999817185,1.0
B2,1673.7036000122316,1.0
B2,3145.973699982278,1.0
B2,1984.6691000275314,1.0
B1,33431.60599999828,0.8888888888888888
B2,1161.773500032723,1.0
B2,3942.0811000163667,1.0
B2,1237.3619000427425,1.0
B2,5012.797800009139,1.0
B2,3052.494600007776,1.0
B2,5382.993999985047,1.0
B2,1051.4195999712683,1.0
B2,5059.095199976582,1.0
B2,1799.4363999459893,1.0
B2,6262.285900011193,1.0
B2,6135.355400037952,0.8888888888888888
B2,9293.682200019248,1.0
B2,16284.396099974401,0.8888888888888888
B2,17680.27259997325,0.8888888888888888
