task_id,n_scenarios,n_inputs,n_outputs,overlap_rate,overlap_density_tier,guard_complexity,has_external_vars,prompt_spec_len,multi_output,n_guard_atoms,n_and_ops,n_rel_ops,n_others,max_atoms_per_guard,mean_atoms_per_guard,conf_test_only,attempts_test_only,conf_test_expected,attempts_test_expected,conf_semantic_ir,attempts_semantic_ir,ir_n_attempts,ir_conf_attempt_1,ir_conf_attempt_last,ir_n_conf_regressions,ir_mean_feedback_json_len,delta_ir_minus_test_only,e6_winner,delta_ir_minus_test_expected,conf_equal_k_b2,conf_equal_k_m,delta_equal_k_m_minus_b2,equal_k_winner
HardSynthetic.HardCase060,7,5,3,1.25,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase061,7,5,3,1.417,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,1,804.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase062,7,5,3,1.167,low,Nested,False,682,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase063,7,5,3,0.958,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.9583333333333334,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,1,266.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase064,7,5,3,1.208,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase065,7,5,3,1.5,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.0,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.875,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase066,7,5,3,1.292,medium,Nested,False,673,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase067,7,5,3,1.25,medium,Nested,False,691,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.0,3,3,0.875,0.0,1,804.7,-0.875,test_only,-0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase068,7,5,3,1.25,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.0,3,3,0.0,0.0,1,403.3,-0.875,test_only,-0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase069,7,5,3,1.208,medium,Nested,False,672,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase070,7,5,3,1.524,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.8571428571428571,3,0.8571428571428571,3,0.8571428571428571,3,3,0.8571428571428571,0.8571428571428571,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase071,7,5,3,1.25,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.75,3,3,0.875,0.75,1,1619.3,-0.125,test_only,-0.125,1.0,1.0,0.0,tie
HardSynthetic.HardCase072,7,5,3,1.25,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase073,7,5,3,1.125,low,Nested,False,699,1,19,12,19,1,3,2.7143,0.875,3,0.0,3,0.875,3,3,0.875,0.875,0,1204.0,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase074,7,5,3,1.083,low,Nested,False,694,1,19,12,19,1,3,2.7143,1.0,3,1.0,2,1.0,3,3,1.0,1.0,0,2.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase075,7,5,3,1.333,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.0,3,0.875,3,3,0.875,0.875,1,804.7,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase076,7,5,3,0.958,low,Nested,False,691,1,19,12,19,1,3,2.7143,1.0,3,1.0,3,1.0,3,3,1.0,1.0,0,2.0,0.0,tie,0.0,0.0,1.0,1.0,M
HardSynthetic.HardCase077,7,5,3,1.292,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase078,7,5,3,1.042,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.0,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase079,7,5,3,1.25,medium,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase080,7,5,3,1.167,low,Nested,False,698,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1204.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase081,7,5,3,1.417,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase082,7,5,3,1.125,low,Nested,False,683,1,18,11,18,1,3,2.5714,0.875,3,0.0,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase083,7,5,3,1.375,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase084,7,5,3,1.292,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,1,804.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase085,7,5,3,1.25,medium,Nested,False,691,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.875,3,3,0.0,0.875,0,804.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase086,7,5,3,1.583,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase087,7,5,3,1.208,medium,Nested,False,684,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,1,804.7,0.0,tie,0.0,0.0,1.0,1.0,M
HardSynthetic.HardCase088,7,5,3,1.0,low,Nested,False,694,1,19,12,19,1,3,2.7143,1.0,3,1.0,2,1.0,3,3,1.0,1.0,0,2.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase089,7,5,3,1.167,low,Nested,False,686,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase090,7,5,3,1.292,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase091,7,5,3,1.042,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.9583333333333334,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase092,7,5,3,1.625,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,1,803.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase094,7,5,3,1.083,low,Nested,False,684,1,18,11,18,1,3,2.5714,0.9583333333333334,3,0.9583333333333334,3,0.0,3,3,0.0,0.0,1,134.0,-0.958333,test_only,-0.958333,1.0,1.0,0.0,tie
HardSynthetic.HardCase095,7,5,3,1.417,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase096,7,5,3,1.25,medium,Nested,False,683,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase097,7,5,3,1.333,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.0,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.875,semantic_ir,0.0,1.0,1.0,0.0,tie
